order_token,user_id,product_id,product_name,product_price,quantity,line_total
2dd24a73-b8e0-40e7-8f0b-32e275b9d05c,10,4,T-Shirt Basic,150000,2,300000
4409a368-1c17-4ee1-8340-17d421d6144e,3,5,Socks,75000,5,375000
df908a80-3f1a-4ab8-8d20-4199694cbafa,1,19,Phone Case,50000,1,50000
79ebaf28-5889-4d87-b236-374de60134d8,1,7,Mug,50000,5,250000
3de7d56e-7428-4e9b-bed4-1622ba2b09dc,3,23,Bag,200000,2,400000
0db5969a-d379-40a9-b98b-6cd258592d21,7,19,Cap,50000,2,100000
db490dc6-7cce-43b4-896e-5ad510c4273c,6,11,Cap,100000,2,200000
fb9989aa-c812-4c78-a4fd-27fc29ed1a2f,5,4,Hoodie Classic,200000,1,200000
4451180b-5145-4c0f-b8c4-e1ca245d7c3d,5,28,Jogger,150000,1,150000
1816de12-a821-4df2-92b7-26e802612cea,7,18,Hoodie Classic,200000,1,200000
1addee2e-b016-46a7-8159-7b718e90734b,8,10,Notebook,175000,5,875000
313f7630-a678-4a20-a60b-bb75004ed958,3,23,Hoodie Classic,50000,2,100000
24bbcee0-0754-4a0a-b9ca-0d54c39dcd8d,4,3,Notebook,125000,1,125000
55e6914a-7cd4-437c-8ad8-15888872cc21,6,9,Poster,175000,2,350000
69775b40-839d-4950-abcb-a64d03dce60b,5,12,Mug,150000,1,150000
b8ff6832-7617-476c-a93c-7d19057a1b08,9,21,Sticker Pack,125000,2,250000
f76e8aff-cdaa-4c83-99a8-19b30784d787,7,13,Cap,125000,3,375000
5e3cbfa8-0159-49df-8312-652d49c8fd5a,,8,Notebook,50000,3,150000
19cf9be8-ce6d-4db4-a094-3a7b7ef2e9c7,6,9,Hoodie Classic,125000,5,625000
764b01a3-c9c7-454a-a09f-eb5351e879eb,5,7,Bag,250000,4,1000000
c207d4cb-8458-44b7-aaa5-cecf642a8ed2,10,15,Sticker Pack,150000,2,300000
85803a76-a6aa-43d2-8919-0d4faf1a271c,3,24,Pin,150000,5,750000
adb3ee98-d70d-49be-8e87-bee189617c98,6,29,Sweater,200000,3,600000
a202711d-6457-4a48-a496-7e5642106be5,3,5,Pin,250000,1,250000
695ab52f-6888-4cc9-a3a5-cae452a764b7,,28,Hoodie Classic,100000,2,200000
5451c3b3-9fd7-4823-bcde-6eddced7c44b,10,14,Sweater,75000,4,300000
26a5a4f3-e698-44ef-8c1e-4a62c4ca01b6,6,20,Poster,150000,5,750000
42e30514-e4c3-4a48-984c-eb32e5d3df2d,,22,Socks,75000,5,375000
087614ec-a321-4d6d-bc8d-098a93ce4334,4,25,Bag,175000,1,175000
2816d36b-4fdc-4b68-869b-5974c8924cbd,4,14,Sticker Pack,250000,1,250000
0282aca8-5bfc-4223-ba90-30ea9a5d9ce8,4,17,Keychain,100000,5,500000
26e0260f-7cfe-4182-b39a-85f9a8c6c868,1,28,Bag,150000,5,750000
f687b768-3249-4845-9f65-b378b0db1846,9,7,Sticker Pack,175000,2,350000
db65d435-cb11-47a9-8930-815ecd95cbf4,8,25,Water Bottle,50000,5,250000
6c47e061-01b9-4773-b17f-4b37cf4dafc2,5,16,T-Shirt Basic,75000,3,225000
dd9dcecd-b7c2-481d-a09c-39f2d2508eb7,4,8,T-Shirt Basic,125000,5,625000
6b59926a-09eb-44fc-90c6-704fa3956463,1,3,Socks,250000,1,250000
523852b7-36a8-4bee-9905-1cc4efecff71,8,25,Sticker Pack,100000,4,400000
6777ccc4-2aa3-4ad8-be7a-350d09e45177,8,6,Cap,200000,2,400000
071e0eba-5341-4706-b8c6-c2add3f2751d,8,25,Socks,125000,3,375000
f7c0c5e6-c3fb-44e4-90b1-d6f9de6485da,6,22,Bag,175000,4,700000
4fca4e88-a348-4523-bc72-7f0b7dca9e4c,8,15,Hoodie Classic,125000,2,250000
05a088f1-30b7-4894-81f6-094670816fde,1,11,T-Shirt Basic,125000,5,625000
a770c909-33fb-4bc4-8b29-2ab5c2ac6ea1,3,1,Hoodie Classic,50000,2,100000
a4160f6a-89a3-4992-92fb-31b9e8f29bc6,1,29,T-Shirt Basic,175000,1,175000
a825ca01-16f5-476c-8758-1a4151b45b30,8,8,Cap,250000,2,500000
9a7c7b3e-7562-4b81-a4a4-6f61bf790621,8,5,Socks,250000,2,500000
922b2e80-b2ea-4123-90ff-6afe69d3dd22,7,26,Phone Case,125000,1,125000
5d860e1d-f622-4d34-afc0-1e8b516e9cb6,1,22,Phone Case,175000,4,700000
2617d799-e583-4ee0-8ed6-a76d275764c6,6,15,Notebook,50000,1,50000
