merchandise_name,user_username,rating,body,created_at
Garuda Store - Jersey Training - Red Black,eka,3,"Beli untuk kado, penerima suka banget.",2025-03-01
Garuda - Socks Kita Garuda | Kaos Kaki Pendek,nina,5,"Keren, tampil percaya diri pakai ini.",2025-02-28
Garuda - Tumbler Kita Garuda,indra,5,Material tebal tapi tetap adem.,2025-01-20
Garuda Store - Crewneck plus 62 Football,indra,4,"Keren, tampil percaya diri pakai ini.",2025-03-10
Garuda - Enamel Pin | Pin Hiasan Tas Aksesoris,reza,5,Material tebal tapi tetap adem.,2025-03-22
Garuda - Socks Pattern | Kaos Kaki,nisa,4,Jahitannya rapi dan bahan premium.,2025-01-29
Garuda - Signed Ball | Bola Kaki Sepak Bola,nina,5,Material tebal tapi tetap adem.,2025-04-03
Garuda - Action Figure Timnas Indonesia - Full Body,joko,5,"Packing rapi, aman sampai tujuan.",2025-03-29
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,fahri,4,"Barang limited edition, gak nyesel beli.",2025-02-19
Garuda - Collar Polo | Baju Atasan Unisex,anna,4,"Barang limited edition, gak nyesel beli.",2025-04-25
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,agus,4,"Cocok dipakai harian, nyaman banget.",2025-01-26
Garuda - Timnas Jersey Replica White 2024 | Jersey Pemain Lengan Pendek,rahma,3,"Kualitas oke, pengiriman cepat.",2025-05-09
Garuda - Timnas Indonesia x Bodypack Audacity Tasuki Bag | Tas Selempang,sari,5,Kualitas lebih bagus dari ekspektasi.,2025-02-24
Garuda - Tumbler Kita Garuda,rudi,5,"Kualitas oke, pengiriman cepat.",2025-01-11
Garuda - Polo Heart of Football | Baju Atasan Pria,toni,5,Material tebal tapi tetap adem.,2025-04-16
Garuda - Timnas Indonesia x Pokemon Hoodie | Hoodie Oversize Premium,rahma,5,Detail produk sesuai gambar.,2025-05-22
Garuda - Timnas 2025 T-Shirt Short Sleeve | Baju Atasan Kaos,maya,4,"Desainnya keren, suka banget!",2025-01-26
Garuda Store - Jersey Training - Red Black,rudi,3,"Barang sesuai foto, puas banget.",2025-03-12
Garuda - Timnas Indonesia x Bodypack Audacity Tasuki Bag | Tas Selempang,adit,4,Keren banget buat nonton di stadion.,2025-03-17
Garuda - Timnas Indonesia x Pokemon Hoodie | Hoodie Oversize Premium,toni,5,Material tebal tapi tetap adem.,2025-02-02
Garuda - Tumbler Kita Garuda,bayu,4,Kualitas lebih bagus dari ekspektasi.,2025-03-06
Garuda - Polo Stripe | Baju Atasan Pria,maya,4,"Cocok dipakai harian, nyaman banget.",2025-05-24
Garuda - Collar Polo | Baju Atasan Unisex,toni,5,"Barang sesuai foto, puas banget.",2025-02-18
Garuda Store - Jersey Training - Red Black,tio,3,"Barang sesuai foto, puas banget.",2025-05-19
Garuda - Timnas 2025 T-Shirt Short Sleeve | Baju Atasan Kaos,citra,5,"Barang sesuai foto, puas banget.",2025-03-09
Garuda - Jersey Player Issue Men Away LS 2025 | Jersey Pemain Lengan Panjang,reza,3,Rekomendasi buat yang suka koleksi Garuda.,2025-03-11
Garuda - Collar Polo | Baju Atasan Unisex,lia,3,Kualitas lebih bagus dari ekspektasi.,2025-04-29
Garuda - Action Figure Timnas Indonesia - Full Body,melisa,5,Rekomendasi buat yang suka koleksi Garuda.,2025-04-13
Garuda - Socks Kita Garuda | Kaos Kaki Pendek,sinta,4,Worth it banget buat harga segini.,2025-03-22
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,indra,5,"Kualitas oke, pengiriman cepat.",2025-01-24
Garuda Store - Crewneck plus 62 Football,tio,4,Kualitas lebih bagus dari ekspektasi.,2025-03-25
Garuda - Polo Stripe | Baju Atasan Pria,budi,5,Bahan adem dan nyaman dipakai.,2025-04-06
Garuda - Enamel Pin | Pin Hiasan Tas Aksesoris,rudi,4,"Kualitas oke, pengiriman cepat.",2025-02-26
Garuda - Vandel Timnas Indonesia | Bendera Kecil Rumbai,riko,4,"Ukuran pas, bahannya lembut.",2025-04-19
Garuda - Timnas 2025 T-Shirt Short Sleeve | Baju Atasan Kaos,citra,5,"Beli untuk kado, penerima suka banget.",2025-05-07
Garuda - Timnas 2025 T-Shirt Short Sleeve | Baju Atasan Kaos,indra,4,Pelayanan toko cepat dan ramah.,2025-04-27
Garuda - Socks Pattern | Kaos Kaki,yuni,3,"Produk sangat bagus, sesuai deskripsi!",2025-01-03
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,bayu,5,"Barang original, mantap kualitasnya.",2025-04-21
Garuda - Timnas 2025 Traveling Jacket Unisex | Jaket,fitri,4,Worth it banget buat harga segini.,2025-02-17
Garuda - Action Figure Timnas Indonesia - Full Body,arif,3,Bahan adem dan nyaman dipakai.,2025-04-15
Garuda - Polo Stripe | Baju Atasan Pria,toni,5,Detail produk sesuai gambar.,2025-02-01
Garuda - Jersey Player Issue Men Away LS 2025 | Jersey Pemain Lengan Panjang,riko,5,"Kualitas oke, pengiriman cepat.",2025-01-09
Garuda - Timnas 2025 T-Shirt Short Sleeve | Baju Atasan Kaos,reza,3,Detail produk sesuai gambar.,2025-01-05
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,maya,5,"Packing rapi, aman sampai tujuan.",2025-04-25
Garuda - Polo Heart of Football | Baju Atasan Pria,arif,5,Bahan adem dan nyaman dipakai.,2025-03-07
Garuda - Collar Polo | Baju Atasan Unisex,nisa,3,"Produk sangat bagus, sesuai deskripsi!",2025-02-23
Garuda - Action Figure Timnas Indonesia - Full Body,maya,3,"Kualitas oke, pengiriman cepat.",2025-01-03
Garuda - Timnas Indonesia x Pokemon Hoodie | Hoodie Oversize Premium,adit,3,"Cocok dipakai harian, nyaman banget.",2025-04-12
Garuda - Timnas Indonesia x Pokemon Hoodie | Hoodie Oversize Premium,arya,3,Kualitas lebih bagus dari ekspektasi.,2025-04-21
Garuda - Enamel Pin | Pin Hiasan Tas Aksesoris,reza,4,"Cocok dipakai harian, nyaman banget.",2025-03-13
Garuda - Socks Pattern | Kaos Kaki,fitri,4,"Cocok dipakai harian, nyaman banget.",2025-05-09
Garuda - Timnas 2025 T-Shirt Short Sleeve | Baju Atasan Kaos,sari,5,Detail produk sesuai gambar.,2025-05-01
Garuda - Tumbler Kita Garuda,reza,4,Worth it banget buat harga segini.,2025-03-05
Garuda - Socks Pattern | Kaos Kaki,melisa,4,Worth it banget buat harga segini.,2025-05-05
Garuda - Timnas Indonesia x Pokemon Hoodie | Hoodie Oversize Premium,sari,5,"Barang sesuai foto, puas banget.",2025-04-14
Garuda - Jersey 2025 Replica Away (Putih) SS | Jersey Pemain Lengan Pendek,riko,3,"Desainnya keren, suka banget!",2025-02-21
Garuda Store - Crewneck plus 62 Football,nina,3,Kualitas lebih bagus dari ekspektasi.,2025-04-08
Garuda - Polo Stripe | Baju Atasan Pria,andi,3,Material tebal tapi tetap adem.,2025-03-02
Garuda - Jersey Player Issue Men Away LS 2025 | Jersey Pemain Lengan Panjang,sinta,3,Bahan adem dan nyaman dipakai.,2025-02-10
Garuda - Signed Ball | Bola Kaki Sepak Bola,dwi,5,"Ukuran pas, bahannya lembut.",2025-05-23
Garuda - Collar Polo | Baju Atasan Unisex,maya,3,Jahitannya rapi dan bahan premium.,2025-05-27
Garuda - Jersey 2025 Replica Home (Merah) SS | Jersey Pemain Lengan Pendek,bambang,5,Jahitannya rapi dan bahan premium.,2025-04-25
Garuda Store - Jersey Training - Red Black,sari,5,Worth it banget buat harga segini.,2025-01-08
